mine_id,planned_production,operating_hours,downtime_hours,blasting_delay_hours,rainfall_mm,soil_moisture,land_temperature,humidity,total_operating_hours,total_downtime_hours,average_utilization,average_performance_score,downtime_ratio,blasting_delay_ratio,equipment_downtime_ratio,equipment_performance_risk,rainfall_risk,year,month,day,day_of_week,actual_production
1,500.0,20.0,2.0,1.0,5.2,32.5,28.4,68.0,95.0,13.0,87.5,85.0,0.1,0.05,0.1368421052631579,15.0,1,2026,1,1,3,480.0
1,500.0,21.0,1.0,0.5,2.1,30.8,29.1,64.0,100.0,8.5,91.74,89.6,0.0476190476190476,0.0238095238095238,0.085,10.400000000000006,0,2026,1,2,4,495.0
1,500.0,18.0,3.0,2.0,15.7,38.2,27.5,76.0,84.0,18.0,81.92,78.2,0.1666666666666666,0.1111111111111111,0.2142857142857142,21.8,2,2026,1,3,5,450.0
1,500.0,19.0,2.5,1.5,8.4,35.1,28.0,72.0,90.0,13.0,87.08,83.8,0.131578947368421,0.0789473684210526,0.1444444444444444,16.200000000000003,1,2026,1,4,6,470.0
1,500.0,22.0,0.5,0.0,1.2,28.4,30.2,58.0,104.0,5.0,95.32,93.4,0.0227272727272727,0.0,0.048076923076923,6.599999999999994,0,2026,1,5,0,500.0
1,500.0,17.0,4.0,3.0,25.6,45.3,26.8,82.0,79.0,23.0,76.96000000000001,72.8,0.2352941176470588,0.1764705882352941,0.2911392405063291,27.200000000000003,2,2026,1,6,1,430.0
1,500.0,18.0,3.0,2.5,18.3,41.7,27.1,79.0,84.0,18.0,81.92,77.8,0.1666666666666666,0.1388888888888889,0.2142857142857142,22.200000000000003,2,2026,1,7,2,460.0
1,500.0,21.0,1.5,0.5,3.5,31.2,29.6,63.0,99.0,9.0,91.56,89.2,0.0714285714285714,0.0238095238095238,0.0909090909090909,10.799999999999995,0,2026,1,8,3,490.0
1,500.0,20.0,2.0,1.0,7.8,34.6,28.7,70.0,94.0,12.0,88.46000000000001,85.6,0.1,0.05,0.1276595744680851,14.400000000000006,1,2026,1,9,4,475.0
1,500.0,16.0,5.0,3.5,32.4,49.8,26.2,88.0,74.0,28.0,72.06,67.6,0.3125,0.21875,0.3783783783783784,32.400000000000006,2,2026,1,10,5,410.0
