Feature,Coefficient,Absolute Importance
equipment_downtime_ratio,-254.31708995822422,254.31708995822422
blasting_delay_ratio,147.22293726725482,147.22293726725482
downtime_ratio,-28.823479068612397,28.823479068612397
blasting_delay_hours,-13.443618231716469,13.443618231716469
downtime_hours,-9.164661203026709,9.164661203026709
planned_delay_hours,-5.992156923431439,5.992156923431439
equipment_operating_hours,-3.984445813320402,3.984445813320402
equipment_downtime_hours,3.6428316991595664,3.6428316991595664
actual_delay_hours,2.396630442074474,2.396630442074474
land_temperature,-1.2917025218582685,1.2917025218582685
humidity,1.0893533049785864,1.0893533049785864
rainfall_mm,-0.9359145594330507,0.9359145594330507
average_utilization,0.7807205790191661,0.7807205790191661
operating_hours,-0.6442595885946166,0.6442595885946166
blast_count,-0.47815159901781135,0.47815159901781135
average_performance_score,-0.3979935448691732,0.3979935448691732
equipment_performance_risk,0.3979935448493283,0.3979935448493283
rainfall_risk,0.38852890407888085,0.38852890407888085
soil_moisture,-0.16437764646272612,0.16437764646272612
planned_production,0.0,0.0
